id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;inputer;create_at;last_updated;update_at
1;PONK3007240001;QKREBES1;KATBR002;kresek plastik;Besar Uk 40-50 Cm Merah;11;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
2;PONK3007240002;QKREBES2;KATBR002;kresek plastik;Sedang Uk 36-40 cm;11;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
3;PONK3007240003;QKREBES3;KATBR002;kresek plastik;Sedang Uk 30-35 Cm;11;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
4;PONK3007240004;QKREBES4;KATBR002;kresek plastik;Kecil Uk 28 Cm;11;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
5;PONK3007240005;QTINMER1;KATBR001;Tinta Epson 664;Warna Merah;2;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
6;PONK3007240006;QTINMER2;KATBR001;Tinta Epson 664;Warna Kuning;2;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
7;PONK3007240007;QTINMER3;KATBR001;Tinta Epson 664;Warna Hitam;2;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
8;PONK3007240008;QTINMER4;KATBR001;Tinta Epson 664;Warna Biru;2;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
9;PONK3007240009;QAIRKEM1;KATBR002;Air Mineral Cleo;Kemasan gelas 230 ml;3;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
10;PONK3007240010;QAIRGAL1;KATBR002;Air Galon Cleo;Galon Cleo 18 Liter;2;Karisma.png;KIUADMIN;30/07/2024 00:00;KIUADMIN;30/07/2024 00:00
