kode_barang	isi_excel	kemasan_excel	isi_db_before	kemasan_db_before	status
AABAC01	10.00	1000.00	10.00	1000.00	SAME
AABAC02	0.00	0.00	0.00	0.00	SAME
AABAC03	20.00	500.00	20.00	500.00	SAME
AABAC04	40.00	250.00	40.00	250.00	SAME
AABAC05	48.00	100.00	48.00	100.00	SAME
AABAC06	24.00	200.00	24.00	200.00	SAME
AABAC07	50.00	100.00	0.00	0.00	CHANGE
AABAC08	1.00	100.00	0.00	0.00	CHANGE
AABAC09	50.00	100.00	50.00	100.00	SAME
AABAD01	120.00	40.00	120.00	40.00	SAME
AABAD02	400.00	10.00	400.00	10.00	SAME
AABEN01	100.00	100.00	100.00	100.00	SAME
AABEN02	40.00	250.00	40.00	250.00	SAME
AABOJ01	100.00	100.00	100.00	100.00	SAME
AABOJ02	200.00	50.00	200.00	50.00	SAME
AABOJO01	100.00	100.00	100.00	100.00	SAME
AABUK01	20.00	500.00	20.00	500.00	SAME
AACAP01	40.00	100.00	40.00	100.00	SAME
AACAP02	50.00	100.00	50.00	100.00	SAME
AACCO01	50.00	100.00	50.00	100.00	SAME
AACCO02	15.00	1000.00	15.00	1000.00	SAME
AACCO03	15.00	1000.00	0.00	0.00	CHANGE
AACCO04	20.00	500.00	20.00	500.00	SAME
AACCU01	1.00	0.00	0.00	0.00	CHANGE
AACCU02	1.00	0.00	1.00	1.00	CHANGE
AACEM01	80.00	100.00	80.00	100.00	SAME
AACEM02	20.00	400.00	20.00	400.00	SAME
AACEO01	100.00	100.00	0.00	0.00	CHANGE
AACEO02	25.00	400.00	25.00	400.00	SAME
AACEO03	20.00	400.00	0.00	0.00	CHANGE
AACEO04	25.00	400.00	0.00	0.00	CHANGE
AACRO01	120.00	40.00	120.00	40.00	SAME
AACRO02	320.00	10.00	320.00	10.00	SAME
AACTA01	100.00	10.00	100.00	10.00	SAME
AACTE01	10.00	1000.00	10.00	1000.00	SAME
AACTI01	25.00	500.00	25.00	500.00	SAME
AACTI02	30.00	250.00	30.00	250.00	SAME
AACTI03	20.00	500.00	1.00	1.00	CHANGE
AACTI04	20.00	1000.00	1.00	1.00	CHANGE
AADEN01	100.00	100.00	100.00	100.00	SAME
AADMI01	200.00	50.00	200.00	50.00	SAME
AADOC01	100.00	100.00	100.00	100.00	SAME
AADOC02	100.00	50.00	100.00	50.00	SAME
AADRI01	40.00	100.00	0.00	0.00	CHANGE
AADRI02	50.00	100.00	50.00	100.00	SAME
AAFON01	40.00	250.00	40.00	250.00	SAME
AAGEN01	50.00	100.00	50.00	100.00	SAME
AAGIL01	100.00	100.00	100.00	100.00	SAME
AAGIL02	40.00	250.00	40.00	250.00	SAME
AAGRI01	100.00	50.00	100.00	50.00	SAME
AAGRI02	50.00	100.00	50.00	100.00	SAME
AAGRI03	12.00	1000.00	0.00	0.00	CHANGE
AAGRI04	1.00	25000.00	0.00	0.00	CHANGE
AAGRI05	1.00	25000.00	0.00	0.00	CHANGE
AAGRI06	4.00	5000.00	0.00	0.00	CHANGE
AAGRI07	1.00	500.00	0.00	0.00	CHANGE
AAGRI08	0.00	0.00	0.00	0.00	SAME
AAGRI09	0.00	0.00	0.00	0.00	SAME
AAGRI10	0.00	0.00	0.00	0.00	SAME
AAGRI11	0.00	0.00	0.00	0.00	SAME
AAGRI12	0.00	0.00	0.00	0.00	SAME
AAGRI13	0.00	0.00	0.00	0.00	SAME
AAGRI14	12.00	1000.00	12.00	1000.00	SAME
AAGRO01	50.00	5.00	50.00	5.00	SAME
AAGRO02	120.00	100.00	0.00	0.00	CHANGE
AAGRO03	24.00	500.00	0.00	0.00	CHANGE
AAGRO04	120.00	100.00	0.00	0.00	CHANGE
AAGRO05	24.00	500.00	0.00	0.00	CHANGE
AAGRO06	25.00	500.00	25.00	500.00	SAME
AAGRO07	10.00	1000.00	10.00	1000.00	SAME
AAGRO08	450.00	35.00	450.00	35.00	SAME
AAGRO09	20.00	500.00	20.00	500.00	SAME
AAGRO10	20.00	500.00	20.00	500.00	SAME
AAGRO11	40.00	250.00	40.00	250.00	SAME
AAGROM01	0.00	0.00	0.00	0.00	SAME
AAGUS01	40.00	250.00	40.00	250.00	SAME
AAGUS02	100.00	100.00	100.00	100.00	SAME
AAGUS03	100.00	100.00	100.00	100.00	SAME
AAGUS04	40.00	250.00	40.00	250.00	SAME
