id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;qrcode_path;qrcode_data;inputer;create_at;last_updated;;;;;;;;;;;;;;;;
1;QAIR001;KEU2QAIR0011;KATBR002;Air Mineral;Cleo Gelas;3;Karisma.png;;;KEU02;14/10/2024;KEU02;;;KATBR002;;;;;a;b;;;;;;;
2;QAIR002;KEU2QAIR0012;KATBR002;Air Mineral;Cleo Botol;15;Karisma.png;;;KEU02;14/10/2024;KEU02;;;KATBR001;KATBR001;;KATBR002;;box;3;;Btl;1;Btl;;;
3;QAIR003;KEU2QAIR0013;KATBR001;Air Mineral;Cleo Galon Refil;16;Karisma.png;;;KEU02;14/10/2024;KEU02;;;RTK;KATBR002;;KATBR002;;slop;15;;Pcs;2;Pcs;;;
4;QALA002;KEU2QALA0024;KATBR001;Alat Pel;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;galon;16;;Box;3;Box;;;
5;QALA001;KEU2QALA0015;KATBR001;Alat Pengharum ruangan Stella + Refil;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Roll;4;Roll;;;
6;QAMP005;KEU2QAMP0056;KATBR001;Amplop;Kecil Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Drum;5;Drum;;;
7;QAMP004;KEU2QAMP0047;KATBR001;Amplop;Sedang Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Zak;6;Zak;;;
8;QAMP007;KEU2QAMP0078;KATBR001;Amplop;Kecil Non Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;SatuanContoh;8;SatuanContoh;;;
9;QAMP006;KEU2QAMP0069;KATBR001;Amplop;Panjang Non Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Kg;9;Kg;;;
10;QAMP002;KEU2QAMP00210;KATBR001;Amplop;Besar Polos;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Ltr;10;Ltr;;;
11;QAMP003;KEU2QAMP00311;KATBR001;Amplop;Panjang Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Pack;11;Pack;;;
12;QAMP001;KEU2QAMP00112;KATBR001;Amplop;Besar Tali;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Pail;12;Pail;;;
13;QBAN001;KEU2QBAN00113;KATBR002;Ban;Ban Original Gajah Tunggal;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Gal;13;Gal;;;
14;QBAN002;KEU2QBAN00214;KATBR002;Ban;Ban Original Aeolus;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;Ember;14;Ember;;;
15;QBAT002;KEU2QBAT00215;KATBR002;Batrai;AA1;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;slop;15;slop;;;
16;QBAT001;KEU2QBAT00116;KATBR002;Batrai;Charger AAA;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;galon;16;galon;;;
17;QBAT003;KEU2QBAT00317;KATBR002;Batrai;AAA;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;kotak;17;kotak;;;
18;QBER002;KEU2QBER00218;KATBR002;Beras Jagung;;9;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;kaleng;18;kaleng;;;
19;QBER001;KEU2QBER00119;KATBR001;Beras Menir;;9;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;kg;9;;bendel;19;bendel;;;
20;QBUB01;KEU2QBUB0120;KATBR001;Buble Wrap;Hitam;4;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kg;9;;lembar;20;lembar;;;
21;QBUK001;KEU2QBUK00121;KATBR001;Buku Tulis;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;roll;4;;lbr;21;lbr;;;
22;QBUL002;KEU2QBUL00222;KATBR001;Bulpen;Biru;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
23;QBUL001;KEU2QBUL00123;KATBR001;Bulpen;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
24;QBUL003;KEU2QBUL00324;KATBR001;Bulpen;Merah;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
25;QCAT001;KEU2QCAT00125;KATBR002;Cat Besi Emco;Hitam;18;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
26;QCAT002;KEU2QCAT00226;KATBR002;Cat Besi Emco;Merah;18;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;kaleng;18;;;;;;;
27;QCDR001;KEU2QCDR00127;KATBR002;CDR;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;kaleng;18;;;;;;;
28;QCHU001;KEU2QCHU00128;KATBR002;Chuck kepala pompa angin;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;lembar
29;QCLE001;KEU2QCLE00129;KATBR002;Cleer Porcelain Cleaner;;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;kaleng
30;QCLI001;KEU2QCLI00130;KATBR002;Cling;425 ml Apple Fresh;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;btl;1;;;;;;;kotak
