"id";"source_id";"kode_barang";"nama_barang";"expired_date";"no_lot";"qty";"qty_pcs";"qty_box";"input_by";"input_at";"wilayah";"tim_opname";"scan_code";"input_source";"created_at";"updated_at"
"1";"324";"QBAGJA01";"Bag Jagung Q235 - 1 kg";"1000-01-01";"-";"46374";"46374";"0";"Ahmad";"2026-07-04 09:07:21";"17";"2";"assets/qrcode/stockopname/OP_QATON09_324.png";NULL;"2026-07-04 02:07:21";NULL
"2";"3208";"ZZSARU15";"Sarung Atlas";"1000-01-01";"-";"1426";"1426";"0";"Anam";"2026-07-04 09:07:25";"16";"2";"assets/qrcode/stockopname/OP_QSARU02_3208.png";NULL;"2026-07-04 02:07:25";NULL
"3";"3214";"ZZSARU11";"Sarung Syngenta";"1000-01-01";"-";"166";"166";"0";"Anam";"2026-07-04 09:07:57";"16";"2";"assets/qrcode/stockopname/OP_ZZSARU11_3214.png";NULL;"2026-07-04 02:07:57";NULL
"4";"1710";"AMULS48";"Mulsa Ori Gajah 0.3 60 cm X 18 kg (Roll) Sample";"1000-01-01";"-";"1";"1";"0";"Sukma";"2026-07-04 09:08:13";"17";"1";"assets/qrcode/stockopname/OP_QMRQL01_1710.png";NULL;"2026-07-04 02:08:13";NULL
"6";"3240";"QUMBU03";"Umbul-umbul Piraklo";"1000-01-01";"-";"52";"52";"0";"Anam";"2026-07-04 09:08:28";"16";"2";"assets/qrcode/stockopname/OP_QUMBU03_3240.png";NULL;"2026-07-04 02:08:28";NULL
"7";"1712";"AMULS49";"Mulsa Ori Gajah 0.3 60 cm X 9 kg (Roll) Sample";"1000-01-01";"-";"1";"1";"0";"Sukma";"2026-07-04 09:08:29";"17";"1";"assets/qrcode/stockopname/OP_QMRGL03_1712.png";NULL;"2026-07-04 02:08:29";NULL
"8";"3239";"QUMBU05";"Umbul-umbul Elazaro";"1000-01-01";"-";"49";"49";"0";"Anam";"2026-07-04 09:08:38";"16";"2";"assets/qrcode/stockopname/OP_QUMBU05_3239.png";NULL;"2026-07-04 02:08:38";NULL
"9";"1719";"AMULS51";"Mulsa Ori Universal 0.25 60 cm X 9 kg (Roll) Sample";"1000-01-01";"-";"1";"1";"0";"Sukma";"2026-07-04 09:08:45";"17";"1";"assets/qrcode/stockopname/OP_QMRQL02_1719.png";NULL;"2026-07-04 02:08:45";NULL
"10";"3238";"QUMBU02";"Umbul-umbul Desanto";"1000-01-01";"-";"55";"55";"0";"Anam";"2026-07-04 09:08:47";"16";"2";"assets/qrcode/stockopname/OP_QUMBU02_3238.png";NULL;"2026-07-04 02:08:47";NULL
"11";"1256";"QKARU01";"Karung OPP Lami 10 kg Qiu Seed";"1000-01-01";"-";"17908";"17908";"0";"Ahmad";"2026-07-04 09:08:58";"17";"2";"assets/qrcode/stockopname/OP_QINKA02_1256.png";NULL;"2026-07-04 02:08:58";NULL
"12";"3106";"ZZEMBE01";"Ember Regent";"1000-01-01";"-";"14";"14";"0";"Anam";"2026-07-04 09:09:01";"16";"2";"assets/qrcode/stockopname/OP_ZZEMBE01_3106.png";NULL;"2026-07-04 02:09:01";NULL
"13";"1150";"AGWSA01";"GW Sanilan 12 X 998 ml";"1000-01-01";"-";"21";"21";"0";"Sukma";"2026-07-04 09:09:11";"17";"1";"assets/qrcode/stockopname/OP_QGLOV03_1150.png";NULL;"2026-07-04 02:09:11";NULL
"14";"3247";"ZZSTAN02";"Stand Fan Panalux";"1000-01-01";"-";"14";"14";"0";"Anam";"2026-07-04 09:09:13";"16";"2";"assets/qrcode/stockopname/OP_ZZSTAN02_3247.png";NULL;"2026-07-04 02:09:13";NULL
"15";"3148";"QKAOS17";"Kaos Futay";"1000-01-01";"-";"3500";"3500";"0";"Nila";"2026-07-04 09:09:21";"16";"1";"assets/qrcode/stockopname/OP_QKAOS17_3148.png";NULL;"2026-07-04 02:09:21";NULL
"16";"3217";"QSIGN01";"Sign Board Associate";"1000-01-01";"-";"55";"55";"0";"Anam";"2026-07-04 09:09:25";"16";"2";"assets/qrcode/stockopname/OP_QSIGN01_3217.png";NULL;"2026-07-04 02:09:25";NULL
"17";"3158";"ZZKAOS99";"Kaos Karisma Setia";"1000-01-01";"-";"37";"37";"0";"Anam";"2026-07-04 09:09:36";"16";"2";"assets/qrcode/stockopname/OP_ZZKAOS99_3158.png";NULL;"2026-07-04 02:09:36";NULL
"18";"3145";"ZZKAOS17";"Kaos EM-4";"1000-01-01";"-";"2650";"2650";"0";"Nila";"2026-07-04 09:09:39";"16";"1";"assets/qrcode/stockopname/OP_ZZKAOS17_3145.png";NULL;"2026-07-04 02:09:39";NULL
"19";"3080";"ZZBAJU01";"Baju Koko";"1000-01-01";"-";"15";"15";"0";"Anam";"2026-07-04 09:09:48";"16";"2";"assets/qrcode/stockopname/OP_ZZBAJU01_3080.png";NULL;"2026-07-04 02:09:48";NULL
"20";"3146";"ZZKAOS18";"Kaos Excel";"1000-01-01";"-";"1650";"1650";"0";"Nila";"2026-07-04 09:09:59";"16";"1";"assets/qrcode/stockopname/OP_ZZKAOS18_3146.png";NULL;"2026-07-04 02:09:59";NULL
"21";"3182";"ZZKAOS262";"Kaos Oblong Associate";"1000-01-01";"-";"2000";"2000";"0";"Anam";"2026-07-04 09:10:09";"16";"2";"assets/qrcode/stockopname/OP_QKAOS04_3182.png";NULL;"2026-07-04 02:10:09";NULL
"22";"3129";"ZZKAOS04";"Kaos Bactocyn Putih/New";"1000-01-01";"-";"324";"324";"0";"Nila";"2026-07-04 09:10:13";"16";"1";"assets/qrcode/stockopname/OP_ZZKAOS04_3129.png";NULL;"2026-07-04 02:10:13";NULL
"23";"3078";"ZZXBAN01";"X-Banner (Cling)";"1000-01-01";"-";"10";"10";"0";"Anam";"2026-07-04 09:10:23";"16";"2";"assets/qrcode/stockopname/OP_ZZXBAN01_3078.png";NULL;"2026-07-04 02:10:23";NULL
"25";"3175";"ZZKAOS201";"Kaos Mulsa Hanoman";"1000-01-01";"-";"53";"53";"0";"Anam";"2026-07-04 09:10:34";"16";"2";"assets/qrcode/stockopname/OP_ZZKAOS201_3175.png";NULL;"2026-07-04 02:10:34";NULL
"26";"3143";"ZZKAOS85";"Kaos Dekalb ( T Shirt Anak )";"1000-01-01";"-";"81";"81";"0";"Anam";"2026-07-04 09:10:43";"16";"2";"assets/qrcode/stockopname/OP_ZZKAOS85_3143.png";NULL;"2026-07-04 02:10:43";NULL
"27";"3131";"ZZKAOS101";"Kaos Bamex";"1000-01-01";"-";"810";"810";"0";"Nila";"2026-07-04 09:10:44";"16";"1";"assets/qrcode/stockopname/OP_QKAOS15_3131.png";NULL;"2026-07-04 02:10:44";NULL
"28";"3140";"QKAOS11";"Kaos Cotton Combed Java karlos";"1000-01-01";"-";"140";"140";"0";"Nila";"2026-07-04 09:10:56";"16";"1";"assets/qrcode/stockopname/OP_QKAOS11_3140.png";NULL;"2026-07-04 02:10:56";NULL
"29";"3133";"ZZKAOS06";"Kaos Bayer";"1000-01-01";"-";"1213";"1213";"0";"Anam";"2026-07-04 09:10:59";"16";"2";"assets/qrcode/stockopname/OP_ZZKAOS06_3133.png";NULL;"2026-07-04 02:10:59";NULL
"30";"3244";"ZZBALI01";"Baliho Cling";"1000-01-01";"-";"2";"2";"0";"Anam";"2026-07-04 09:11:07";"16";"2";"assets/qrcode/stockopname/OP_ZZBALI01_3244.png";NULL;"2026-07-04 02:11:07";NULL
"31";"3180";"ZZKAOS236";"Kaos Phosgrow";"1000-01-01";"-";"281";"281";"0";"Nila";"2026-07-04 09:11:10";"16";"1";"assets/qrcode/stockopname/OP_ZZKAOS236_3180.png";NULL;"2026-07-04 02:11:10";NULL
"32";"3094";"ZZBUKU04";"Buku Tulis Cymax";"1000-01-01";"-";"2135";"2135";"0";"Anam";"2026-07-04 09:11:15";"16";"2";"assets/qrcode/stockopname/OP_ZZBUKU04_3094.png";NULL;"2026-07-04 02:11:15";NULL
"33";"2916";"QJAGU63";"Jagung ADV 132 20 X 1 kg";"2026-09-29";"-";"1300";"0";"65";"Deva";"2026-07-04 09:11:19";"15";"1";"assets/qrcode/stockopname/OP_QWIND06_2916.png";NULL;"2026-07-04 02:11:19";NULL
"34";"3132";"ZZKAOS101";"Kaos Bamex";"1000-01-01";"-";"400";"400";"0";"Nila";"2026-07-04 09:11:22";"16";"1";"assets/qrcode/stockopname/OP_QKAOS15_3132.png";NULL;"2026-07-04 02:11:22";NULL
"35";"3219";"ZZSPAN07";"Spanduk Mulsa Karisma";"1000-01-01";"-";"3";"3";"0";"Anam";"2026-07-04 09:11:23";"16";"2";"assets/qrcode/stockopname/OP_ZZSPAN07_3219.png";NULL;"2026-07-04 02:11:23";NULL
"36";"2397";"QSELA01";"Selang Orange Komplit+G. Plastik Star Metal";"1000-01-01";"-";"817";"817";"0";"Ahmad";"2026-07-04 09:11:25";"17";"2";"assets/qrcode/stockopname/OP_QROTR02_2397.png";NULL;"2026-07-04 02:11:25";NULL
"37";"1952";"APENT01";"Pentagon 100 ml (Sample)";"1000-01-01";"-";"74";"74";"0";"Sukma";"2026-07-04 09:11:34";"17";"1";"assets/qrcode/stockopname/OP_QPAKE12_1952.png";NULL;"2026-07-04 02:11:34";NULL
"38";"3185";"ZZKAOS197";"Kaos Prima-Zeb";"1000-01-01";"-";"116";"116";"0";"Nila";"2026-07-04 09:11:34";"16";"1";"assets/qrcode/stockopname/OP_ZZKAOS197_3185.png";NULL;"2026-07-04 02:11:34";NULL
"39";"3152";"QKAOS10";"Kaos Hyget Panjang Super Java";"1000-01-01";"-";"168";"168";"0";"Nila";"2026-07-04 09:11:46";"16";"1";"assets/qrcode/stockopname/OP_QKAOS10_3152.png";NULL;"2026-07-04 02:11:46";NULL
"40";"1362";"ALABA02";"Laba Hidroponik 142 gr";"1000-01-01";"-";"5";"5";"0";"Sukma";"2026-07-04 09:11:58";"17";"1";"assets/qrcode/stockopname/OP_QKNO303_1362.png";NULL;"2026-07-04 02:11:58";NULL
"42";"3141";"ZZKAOS192";"Kaos dan Tas Boron & Zinc";"1000-01-01";"-";"95";"95";"0";"Nila";"2026-07-04 09:12:03";"16";"1";"assets/qrcode/stockopname/OP_ZZKAOS192_3141.png";NULL;"2026-07-04 02:12:03";NULL
"43";"1361";"ALABA01";"Laba Hidroponik 130 gr";"1000-01-01";"-";"6";"6";"0";"Sukma";"2026-07-04 09:12:13";"17";"1";"assets/qrcode/stockopname/OP_QKNO303_1361.png";NULL;"2026-07-04 02:12:13";NULL
"44";"3206";"ZZSABU02";"Sabun Harimau Kuat 24 x 300 gr";"1000-01-01";"-";"455";"455";"0";"Nila";"2026-07-04 09:12:14";"16";"1";"assets/qrcode/stockopname/OP_ZZSABU02_3206.png";NULL;"2026-07-04 02:12:14";NULL
"45";"504";"ABOTO02";"Botol Vishaka 100 ml Tutup Hijau";"1000-01-01";"-";"2219";"2219";"0";"Lia";"2026-07-04 09:12:26";"15";"2";"assets/qrcode/stockopname/OP_QBMOP01_504.png";NULL;"2026-07-04 02:12:26";NULL
"46";"117";"QALAT20";"Alat Pengikat Tanaman Yoto";"1000-01-01";"-";"318";"318";"0";"Ahmad";"2026-07-04 09:12:28";"17";"2";"assets/qrcode/stockopname/OP_QAKRO02_117.png";NULL;"2026-07-04 02:12:28";NULL
"47";"1181";"AHIPR01";"HiPro Series 13-7-10 Powder 250 gr (Sample)";"1000-01-01";"-";"8";"8";"0";"Sukma";"2026-07-04 09:12:28";"17";"1";"assets/qrcode/stockopname/OP_QGOLD22_1181.png";NULL;"2026-07-04 02:12:28";NULL
"48";"3087";"ZZBROS04";"Brosur Elazaro/Castora";"1000-01-01";"-";"19866";"19866";"0";"Nila";"2026-07-04 09:12:29";"16";"1";"assets/qrcode/stockopname/OP_QBROS04_3087.png";NULL;"2026-07-04 02:12:29";NULL
"49";"3110";"ZZGELA06";"Gelas Polos HS-9";"1000-01-01";"-";"198";"198";"0";"Anam";"2026-07-04 09:12:36";"16";"2";"assets/qrcode/stockopname/OP_ZZGELA06_3110.png";NULL;"2026-07-04 02:12:36";NULL
"50";"3086";"ZZBROS03";"Brosur Desanto/Piraklo";"1000-01-01";"-";"17938";"17938";"0";"Nila";"2026-07-04 09:12:45";"16";"1";"assets/qrcode/stockopname/OP_QBROS03_3086.png";NULL;"2026-07-04 02:12:45";NULL
"51";"2704";"ATUTU07";"Tutup Warna Hijau Botol Vishaka 100 ml";"1000-01-01";"-";"2510";"2510";"0";"Lia";"2026-07-04 09:12:47";"15";"2";"assets/qrcode/stockopname/OP_QTANG57_2704.png";NULL;"2026-07-04 02:12:47";NULL
